origin,destination,driving_distance,from_center,to_center
"Stenglinstrasse 2, AUGSBURG","Joseph-Stelzmann-Str. 9, KOELN",517.715,GAUTP,GKLTP
"Stenglinstrasse 2, AUGSBURG","Baldingerstrasse, MARBURG/LAHN",445.119,GAUTP,GMRTP
"Stenglinstrasse 2, AUGSBURG","Hoppe-Seyler-Strasse 3, TUEBINGEN",183.771,GAUTP,GTUTP
"Stenglinstrasse 2, AUGSBURG","Postbus 22660, AMSTERDAM",765.176,GAUTP,NAWTP
"Stenglinstrasse 2, AUGSBURG","Waehringer Guertel 18-20, Wien",471.867,GAUTP,AWDTP
"Stenglinstrasse 2, AUGSBURG","J. Huttlera 4, Osijek",916.092,GAUTP,COSTP
"Stenglinstrasse 2, AUGSBURG","Sigmund Freud Strasse 25, BONN-Venusberg",496.004,GAUTP,GBOTP
"Stenglinstrasse 2, AUGSBURG","Ernst Grube Strasse 40, HALLE/Saale",422.509,GAUTP,GHATP
"Stenglinstrasse 2, AUGSBURG","Ostmerheimerstrasse 200, Koln (Merheim)",512.451,GAUTP,GKMTP
"Stenglinstrasse 2, AUGSBURG","Langenbeckstr. 1, Mainz",355.883,GAUTP,GMZTP
"Stenglinstrasse 2, AUGSBURG","ZIM - Medizinische Klinik I, WUERZBURG",239.169,GAUTP,GWZTP
"Stenglinstrasse 2, AUGSBURG","Hanzeplein 1, Groningen",814.718,GAUTP,NGRTP
"Stenglinstrasse 2, AUGSBURG","Abt. Transplantation 09 D, Wien",473.617,GAUTP,AWGTP
"Stenglinstrasse 2, AUGSBURG","Kresimirova 42, Rijeka",600.513,GAUTP,CRITP
"Stenglinstrasse 2, AUGSBURG","Friedrichstrasse 10, Stuttgart",157.831,GAUTP,GBWOR
"Stenglinstrasse 2, AUGSBURG","Im Neuenheimer Feld 110, HEIDELBERG",272.784,GAUTP,GHBTP
"Stenglinstrasse 2, AUGSBURG","Hellmut-Hartert-Str. 1, KAISERSLAUTERN",312.062,GAUTP,GKSTP
"Stenglinstrasse 2, AUGSBURG","Maximilianspl. 2, ERLANGEN",166.065,GAUTP,GNBTP
"Stenglinstrasse 2, AUGSBURG","Baross u. 23-25., Budapest",723.959,GAUTP,HBSTP
"Stenglinstrasse 2, AUGSBURG","Albinusdreef 2, LEIDEN",781.314,GAUTP,NLBTP
"Stenglinstrasse 2, AUGSBURG","Wilrijkstraat 10, EDEGEM",698.341,GAUTP,BANTP
"Stenglinstrasse 2, AUGSBURG","Kispaticeva 12, Zagreb",632.053,GAUTP,CZATP
"Stenglinstrasse 2, AUGSBURG","Marchioninistrasse 15, Muenchen",72.124,GAUTP,GBYOR
"Stenglinstrasse 2, AUGSBURG","Martinistrasse 52, HAMBURG",750.555,GAUTP,GHGTP
"Stenglinstrasse 2, AUGSBURG","Liebigstrasse 20, LEIPZIG",413.598,GAUTP,GLPTP
"Stenglinstrasse 2, AUGSBURG","Schiffgraben 44, Hannover",593.923,GAUTP,GNDOR
"Stenglinstrasse 2, AUGSBURG","Moricz Zs. krt. 22., Debrecen",977.241,GAUTP,HDBTP
"Stenglinstrasse 2, AUGSBURG","P. Debyelaan 25, MAASTRICHT",599.245,GAUTP,NMSTP
"Stenglinstrasse 2, AUGSBURG","Laarbeeklaan 101, JETTE/BRUSSEL",677.738,GAUTP,BBJTP
"Stenglinstrasse 2, AUGSBURG","Zajceva 19, Zagreb",635.034,GAUTP,CZMTP
"Stenglinstrasse 2, AUGSBURG","Fetscherstr. 74, DRESDEN",449.962,GAUTP,GDRTP
"Stenglinstrasse 2, AUGSBURG","Vogelsang 105, HANN. MUENDEN",454.946,GAUTP,GHMTP
"Stenglinstrasse 2, AUGSBURG","Transplantationsbuero, LUEBECK",797.281,GAUTP,GLUTP
"Stenglinstrasse 2, AUGSBURG","Saatwinkler Damm 11-12, Berlin",564.87,GAUTP,GNOOR
"Stenglinstrasse 2, AUGSBURG","Rakoczi ut 2., Pecs",792.608,GAUTP,HPCTP
"Stenglinstrasse 2, AUGSBURG","Geert Groote Plein 8, NIJMEGEN",652.224,GAUTP,NNYTP
"Stenglinstrasse 2, AUGSBURG","808 Route de Lennik, Brussels",692.655,GAUTP,BBRTP
"Stenglinstrasse 2, AUGSBURG","Pauwelstr. 30, AACHEN",569.475,GAUTP,GAKTP
"Stenglinstrasse 2, AUGSBURG","Moorenstrasse 5, DUESSELDORF",550.55,GAUTP,GDUTP
"Stenglinstrasse 2, AUGSBURG","Stadtfelddamm 65, HANNOVER",594.095,GAUTP,GHOTP
"Stenglinstrasse 2, AUGSBURG","Theodor Kutzer Ufer 1-3, MANNHEIM",283.592,GAUTP,GMATP
"Stenglinstrasse 2, AUGSBURG","Lindenallee, Essen",573.873,GAUTP,GNWOR
"Stenglinstrasse 2, AUGSBURG","Pecsi ut 4., Szeged",891.622,GAUTP,HSZTP
"Stenglinstrasse 2, AUGSBURG","Dr. Molewaterplein 40, ROTTERDAM",758.654,GAUTP,NRDTP
"Hufelandstrasse 55, ESSEN","Auenbruggerplatz 29, GRAZ",953.565,GESTP,AGATP
"Hufelandstrasse 55, ESSEN","De Pintelaan 185, GENT",250.827,GESTP,BGETP
"Hufelandstrasse 55, ESSEN","Stenglinstrasse 2, AUGSBURG",573.137,GESTP,GAUTP
"Hufelandstrasse 55, ESSEN","Hufelandstrasse 55, ESSEN",0,GESTP,GESTP
"Hufelandstrasse 55, ESSEN","Kirrberger Strasse Geb. 41, HOMBURG/SAAR",319.045,GESTP,GHSTP
"Hufelandstrasse 55, ESSEN","Ismaningerstr. 22, MUENCHEN",633.31,GESTP,GMHTP
"Hufelandstrasse 55, ESSEN","Walter-Koehn-str. 1A, Leipzig",456.828,GESTP,GOSOR
"Hufelandstrasse 55, ESSEN","Karolina ut 19-21., Budapest",1200.92,GESTP,HUNOR
"Hufelandstrasse 55, ESSEN","Postbus 2060, ROTTERDAM",217.885,GESTP,NRSTP
